time,open,high,low,close,Buy Signal,Sell Signal
1702930380,373.25,373.4,372.92,372.97,0,0
1702996200,373.24,374.58,373.14,374.56,0,0
1702999140,374.57,374.97,374.49,374.97,0,0
1703002080,374.97,375.27,374.95,374.95,0,0
1703005020,374.95,374.95,374.58,374.82,0,0
1703007960,374.8,375.05,374.76,374.94,0,0
1703010900,374.92,375.19,374.74,374.94,0,0
1703013840,374.96,375.1,374.73,374.88,0,0
1703016780,374.87,375.55,374.73,375.47,0,0
1703082600,374.6,375.29,374.58,375.22,0,0
1703085540,375.18,375.61,374.98,375.45,0,0
1703088480,375.46,375.86,375.42,375.73,0,0
1703091420,375.745,376.33,375.74,376.29,0,0
1703094360,376.27,376.34,375.86,376.03,0,0
1703097300,376.05,376.05,375.53,375.68,0,0
1703100240,375.69,375.69,371.99,372.41,0,1
1703103180,372.43,373.16,370.61,370.8,0,0
1703169000,372.89,373.99,372.5,373.19,0,0
1703171940,373.27,373.82,372.7,372.84,0,0
1703174880,372.84,373.2,372.44,372.45,0,0
1703177820,372.475,372.54,371.53,371.98,0,0
1703180760,371.96,372.4,371.18,372,0,0
1703183700,371.97,372.56,371.91,372.27,0,0
1703186640,372.23,372.54,371.99,372.39,0,0
1703189580,372.44,374.13,372.39,373.93,0,0
1703255400,373.64,375.3,373.52,374.77,1,0
1703258340,374.77,375.24,373.9,374.19,0,0
1703261280,374.21,374.63,374.12,374.56,0,0
1703264220,374.45,374.59,374.16,374.5,0,0
1703267160,374.51,374.71,374.38,374.5,0,0
1703270100,374.48,374.57,373.13,373.13,0,0
1703273040,373.09,374.15,372.58,373.96,0,0
1703275980,373.97,374.18,373.35,373.91,0,0
1703601000,373.68,374.78,373.58,374.78,0,0
1703603940,374.78,374.87,374.59,374.76,0,0
1703606880,374.73,374.99,374.57,374.81,0,0
1703609820,374.77,375.12,374.77,375.03,0,0
1703612760,375.05,375.29,374.9,375.21,0,0
1703615700,375.15,375.43,375.1,375.41,0,0
1703618640,375.41,375.67,375.37,375.48,0,0
1703621580,375.47,376.09,375.17,375.37,0,0
1703687400,375.1,376.2,374.76,375.76,0,0
1703690340,375.8,376.24,375.61,375.72,0,0
1703693280,375.71,376.18,375.67,376.09,0,0
1703696220,376.08,376.29,375.78,375.89,0,0
1703699160,375.86,376.79,375.83,376.24,0,0
1703702100,376.25,376.43,375.31,375.92,0,0
1703705040,375.88,376.16,375.58,376.01,0,0
1703707980,376.06,376.67,375.56,376.58,0,0
1703773800,376.48,377.22,376.48,377.13,0,0
1703776740,377.14,377.325,376.87,377,0,0
1703779680,376.99,377.125,376.73,377.05,0,0
1703782620,377.04,377.24,376.85,377.24,0,0
1703785560,377.25,377.45,376.75,377.31,0,0
1703788500,377.27,377.575,377.15,377.38,0,0
1703791440,377.41,377.59,377.26,377.29,0,0
1703794380,377.3,377.69,376.81,377.13,0,0
1703860200,376.96,377.46,376.91,377.07,0,0
1703863140,377.05,377.22,376.32,376.7,0,0
1703866080,376.72,376.77,375.6,375.83,0,1
1703869020,375.8,376,375.26,375.86,0,0
1703871960,375.85,376.53,375.66,376.18,0,0
1703874900,376.24,376.65,376.22,376.64,0,0
1703877840,376.66,376.97,376.43,376.78,0,0
1703880780,376.8,377.15,376.2,376.92,0,0
1704205800,374.85,376.82,374.81,376.52,0,0
1704208740,376.6,377.09,376.16,376.71,0,0
1704211680,376.68,377.37,376.54,377.37,0,0
1704214620,377.3,377.8,377.22,377.71,1,0
1704217560,377.7,377.81,377.015,377.31,0,0
1704220500,377.31,377.4,376.54,376.54,0,0
1704223440,376.54,376.76,375.74,375.91,0,0
1704226380,375.9,377.16,375.82,377.11,0,0
1704292200,375.68,376.12,374.54,374.73,0,1
1704295140,374.74,375.03,373.96,374.53,0,0
1704298080,374.53,374.82,374.29,374.71,0,0
1704301020,374.7,375.28,374.35,375.2,0,0
1704303960,375.18,375.78,375.07,375.5,0,0
1704306900,375.46,375.65,374.56,375.1,0,0
1704309840,375.1,376.05,374.85,374.87,0,0
1704312780,374.85,375.06,373.9,374.19,0,0
1704378600,374.8,376.44,374.61,376.12,0,0
1704381540,376.1,376.44,375.86,376.31,0,0
1704384480,376.35,377.22,376.24,376.42,0,0
1704387420,376.41,376.45,375.13,375.15,0,0
1704390360,375.14,375.77,375.14,375.61,0,0
1704393300,375.62,375.78,375.41,375.48,0,0
1704396240,375.48,375.73,375.13,375.53,0,0
1704399180,375.49,375.51,374.4,374.59,0,0
1704465000,374.43,376.25,373.98,375.45,0,0
1704467940,375.4,375.91,375.07,375.37,0,0
1704470880,375.39,375.79,374.56,374.66,0,0
1704473820,374.59,374.59,373.38,373.83,0,0
1704476760,373.82,374.71,373.21,374.58,0,0
1704479700,374.59,375.25,374.51,374.89,0,0
1704482640,374.85,375,373.8,374.02,0,0
1704485580,374.05,375.02,373.73,374.68,0,0
1704724200,373.4,373.7,372.47,373.18,0,0
1704727140,373.21,374.32,373.21,373.51,0,0
1704730080,373.55,374.13,373.54,373.86,0,0
1704733020,373.89,374.38,373.76,374.3,0,0
1704735960,374.34,374.87,374.28,374.47,0,0
1704738900,374.5,375.5,374.41,375.46,0,0
1704741840,375.48,376.38,375.48,376.07,0,0
