time,open,high,low,close,Buy Signal,Sell Signal
2/16/2021,393.96,394.17,391.53,392.3,0,0
2/17/2021,390.42,392.66,389.33,392.39,0,0
2/18/2021,389.59,391.515,387.74,390.72,0,0
2/19/2021,392.07,392.38,389.55,390.03,0,0
2/22/2021,387.06,389.62,386.74,387.03,0,0
2/23/2021,384.66,388.945,380.2,387.5,0,0
2/24/2021,386.33,392.23,385.27,391.77,0,0
2/25/2021,390.41,391.88,380.7789,382.33,0,0
2/26/2021,384.35,385.58,378.23,380.36,0,1
3/1/2021,385.59,390.92,380.572,389.58,0,0
3/2/2021,389.82,390.07,386,386.54,0,0
3/3/2021,385.79,386.83,381.31,381.42,0,0
3/4/2021,381.22,384,371.88,376.7,0,0
3/5/2021,380.46,384.76,372.64,383.63,0,0
3/8/2021,384.66,387.68,381.42,381.72,0,0
3/9/2021,385.85,389.91,381.7299,387.17,0,0
3/10/2021,389.69,391.4,388.1702,389.58,0,0
3/11/2021,392.23,395.65,391.74,393.53,1,0
3/12/2021,392.07,394.21,391.2,394.06,0,0
3/15/2021,394.33,396.685,392.03,396.41,0,0
3/16/2021,397.07,397.83,395.08,395.91,0,0
3/17/2021,394.53,398.12,393.3,397.26,0,0
3/18/2021,394.475,396.72,390.75,391.48,0,0
3/19/2021,389.88,391.569,387.15,389.48,0,0
3/22/2021,390.03,394.07,389.97,392.59,0,0
3/23/2021,391.91,393.46,388.66,389.5,0,0
3/24/2021,391,392.75,387.47,387.52,0,0
3/25/2021,385.98,390.55,383.9,389.7,0,0
3/26/2021,390.93,396.41,390.29,395.98,0,0
3/29/2021,394.4,396.75,392.81,395.78,0,0
3/30/2021,394.42,395.45,393.02,394.73,0,0
3/31/2021,395.34,398,395.31,396.33,0,0
4/1/2021,398.4,400.67,398.18,400.61,0,0
4/5/2021,403.46,406.94,403.38,406.36,0,0
4/6/2021,405.76,407.24,405.4,406.12,0,0
4/7/2021,405.94,406.96,405.45,406.59,0,0
4/8/2021,407.93,408.58,406.93,408.52,0,0
4/9/2021,408.39,411.67,408.26,411.49,0,0
4/12/2021,410.85,411.93,410.2,411.64,0,0
4/13/2021,411.53,413.529,411.12,412.86,0,0
4/14/2021,412.83,413.96,410.87,411.45,0,0
4/15/2021,413.74,416.16,413.69,415.87,0,0
4/16/2021,417.25,417.91,415.73,417.26,0,0
4/19/2021,416.26,416.74,413.79,415.21,0,0
4/20/2021,413.91,415.0859,410.59,412.17,0,0
4/21/2021,411.51,416.29,411.36,416.07,0,0
4/22/2021,415.89,416.78,411.13,412.27,0,0
4/23/2021,412.87,418.25,412.79,416.74,0,0
4/26/2021,417.44,418.22,416.8111,417.61,0,0
4/27/2021,417.93,418.14,416.3,417.52,0,0
4/28/2021,417.81,419.01,416.9,417.4,0,0
4/29/2021,420.32,420.72,416.44,420.06,0,0
4/30/2021,417.63,418.54,416.34,417.3,0,0
5/3/2021,419.43,419.84,417.665,418.2,0,0
5/4/2021,416.07,416.6,411.67,415.62,0,0
5/5/2021,417.38,417.63,415.15,415.75,0,0
5/6/2021,415.83,419.21,413.675,419.07,0,0
5/7/2021,419.89,422.815,419.16,422.12,0,0
5/10/2021,422.5,422.74,417.81,417.94,0,0
5/11/2021,413.1,415.27,410.06,414.21,0,0
5/12/2021,411.23,412.59,404,405.41,0,1
5/13/2021,407.07,412.35,407.02,410.28,0,0
5/14/2021,413.21,417.49,413.18,416.58,0,0
5/17/2021,415.39,416.39,413.36,415.52,0,0
5/18/2021,415.8,416.06,411.77,411.94,0,0
5/19/2021,406.92,411.05,405.33,410.86,0,0
5/20/2021,411.8,416.625,411.67,415.28,0,0
5/21/2021,416.87,418.2,414.45,414.94,0,0
5/24/2021,417.34,420.32,417.08,419.17,0,0
5/25/2021,420.33,420.71,417.62,418.24,1,0
